station_code,station_name,line,sequence,is_interchange,next_station_code,latitude,longitude,distance_to_next_km,line_color
SRCS,Krantivira Sangolli Rayanna Railway Station,Purple Line,24,0,MIRD,12.9758,77.566,1.14,#9B2FAE
MIRD,Magadi Road,Purple Line,25,0,HSLI,12.9756,77.5555,1.09,#9B2FAE
HSLI,"Sri Balagangadharanatha Swamiji Station, Hosahalli",Purple Line,26,0,VJN,12.9742,77.5455,0.96,#9B2FAE
VJN,Vijayanagar,Purple Line,27,0,AGPP,12.9708,77.5374,1.06,#9B2FAE
AGPP,Attiguppe,Purple Line,28,0,DJNR,12.962,77.5336,1.15,#9B2FAE
DJNR,Deepanjali Nagar,Purple Line,29,0,MYRD,12.9522,77.537,1.01,#9B2FAE
MYRD,Mysuru Road,Purple Line,30,0,NYHM,12.9465,77.5297,2.27,#9B2FAE
NYHM,Pantharapalya - Nayandahalli,Purple Line,31,0,RRRN,12.9452,77.5088,1.52,#9B2FAE
RRRN,Rajarajeshwari Nagar,Purple Line,32,0,BGUC,12.9366,77.5197,1.13,#9B2FAE
BGUC,Jnanabharathi,Purple Line,33,0,PATG,12.9297,77.512,1.23,#9B2FAE
PATG,Pattanagere,Purple Line,34,0,MLSD,12.927,77.501,2.1,#9B2FAE
MLSD,Kengeri Bus Terminal,Purple Line,35,0,KGIT,12.915,77.486,0.78,#9B2FAE
KGIT,Kengeri,Purple Line,36,0,CHGT,12.909,77.4823,1.6,#9B2FAE
CHGT,Challaghatta,Purple Line,37,0,,12.901,77.47,,#9B2FAE
RVR,Rashtreeya Vidyalaya Road,Yellow Line,1,1,RGGD,12.9215,77.5801,0.5,#F59E0B
RGGD,Ragigudda,Yellow Line,2,0,JYDH,12.918,77.583,2.72,#F59E0B
JYDH,Jayadeva Hospital,Yellow Line,3,1,BTML,12.916,77.608,0.07,#F59E0B
BTML,BTM Layout,Yellow Line,4,0,CSB,12.91656,77.60825,1.63,#F59E0B
CSB,Central Silk Board,Yellow Line,5,1,BMNH,12.9175,77.6233,1.17,#F59E0B
BMNH,Bommanahalli,Yellow Line,6,0,HONG,12.907,77.624,0.97,#F59E0B
HONG,Hongasandra,Yellow Line,7,0,KUDG,12.9005,77.63,1.61,#F59E0B
KUDG,Kudlu Gate,Yellow Line,8,0,SGSA,12.889,77.639,1.39,#F59E0B
SGSA,Singasandra,Yellow Line,9,0,HSRD,12.8785,77.646,1.39,#F59E0B
HSRD,Hosa Road,Yellow Line,10,0,BARA,12.868,77.653,1.53,#F59E0B
BARA,Beratena Agrahara,Yellow Line,11,0,ELCT,12.8555,77.659,1.3,#F59E0B
ELCT,Electronic City,Yellow Line,12,0,INFA,12.844,77.661,1.0,#F59E0B
INFA,Infosys Foundation Konappana Agrahara,Yellow Line,13,0,HSKR,12.835,77.6615,1.16,#F59E0B
HSKR,Huskur Road,Yellow Line,14,0,HBGD,12.8255,77.666,0.9,#F59E0B
HBGD,Biocon Hebbagodi,Yellow Line,15,0,BOMS,12.8275,77.674,1.8,#F59E0B
BOMS,Delta Electronics Bommasandra,Yellow Line,16,0,,12.8193,77.6883,,#F59E0B
